"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NYTRF","2023-08-11","SLV","48166","0","126794","N"
"NQTRF","2023-08-11","SLV","833551","0","2240434","Q"
"NCTRF","2023-08-10","SLV","14566","0","23052","B"
"NYTRF","2023-08-10","SLV","398706","0","531176","N"
"NQTRF","2023-08-10","SLV","1644861","3927","3789373","Q"
"NCTRF","2023-08-09","SLV","5063","0","6602","B"
"NYTRF","2023-08-09","SLV","348727","144","401186","N"
"NQTRF","2023-08-09","SLV","1349025","6202","2960767","Q"
"NCTRF","2023-08-08","SLV","8009","0","12703","B"
"NYTRF","2023-08-08","SLV","480903","0","557237","N"
"NQTRF","2023-08-08","SLV","3147288","503","5441518","Q"
"NQTRF","2023-08-07","SLV","2822621","6020","4218199","Q"
"NCTRF","2023-08-07","SLV","17189","0","20049","B"
"NYTRF","2023-08-07","SLV","62128","497","130853","N"
"NQTRF","2023-08-04","SLV","1802811","0","2908683","Q"
"NCTRF","2023-08-04","SLV","2130","0","2925","B"
"NYTRF","2023-08-04","SLV","35308","0","148362","N"
"NQTRF","2023-08-03","SLV","1783888","338","2880072","Q"
"NCTRF","2023-08-03","SLV","1952","0","14987","B"
"NYTRF","2023-08-03","SLV","94861","300","370284","N"
"NCTRF","2023-08-02","SLV","8119","0","10937","B"
"NQTRF","2023-08-02","SLV","2224356","3219","3739877","Q"
"NYTRF","2023-08-02","SLV","244346","472","400804","N"
"NCTRF","2023-08-01","SLV","10837","0","15358","B"
"NYTRF","2023-08-01","SLV","205892","669","330951","N"
"NQTRF","2023-08-01","SLV","1266034","1041","2191002","Q"
"NCTRF","2023-07-31","SLV","6819","0","37868","B"
"NQTRF","2023-07-31","SLV","1183492","11328","2941384","Q"
"NYTRF","2023-07-31","SLV","684602","1039","809176","N"
"NYTRF","2023-07-28","SLV","439692","2688","638725","N"
"NCTRF","2023-07-28","SLV","23940","0","29384","B"
"NQTRF","2023-07-28","SLV","1237565","3732","2271456","Q"
"NQTRF","2023-07-27","SLV","3295815","188","5628935","Q"
"NCTRF","2023-07-27","SLV","21436","0","33737","B"
"NYTRF","2023-07-27","SLV","442411","824","655125","N"
"NCTRF","2023-07-26","SLV","2863","0","9330","B"
"NYTRF","2023-07-26","SLV","661055","993","1015653","N"
"NQTRF","2023-07-26","SLV","2848013","11927","4757154","Q"
"NQTRF","2023-07-25","SLV","1710195","6238","2749761","Q"
"NCTRF","2023-07-25","SLV","5822","0","16148","B"
"NYTRF","2023-07-25","SLV","242410","1440","386247","N"
"NCTRF","2023-07-24","SLV","4620","0","12026","B"
"NQTRF","2023-07-24","SLV","1634916","1345","2650867","Q"
"NYTRF","2023-07-24","SLV","154691","226","292016","N"
"NCTRF","2023-07-21","SLV","4445","0","4741","B"
"NYTRF","2023-07-21","SLV","235156","3537","430370","N"
"NQTRF","2023-07-21","SLV","2168565","3273","3349198","Q"
"NYTRF","2023-07-20","SLV","486311","6586","749501","N"
"NQTRF","2023-07-20","SLV","2205848","625","3776982","Q"
"NCTRF","2023-07-20","SLV","4558","0","14444","B"
"NYTRF","2023-07-19","SLV","537206","1007","699561","N"
"NQTRF","2023-07-19","SLV","1761091","5368","2996526","Q"
"NCTRF","2023-07-19","SLV","5644","0","14560","B"
"NCTRF","2023-07-18","SLV","17226","0","24283","B"
"NQTRF","2023-07-18","SLV","2309337","474","3242013","Q"
"NYTRF","2023-07-18","SLV","327711","9508","554300","N"
"NCTRF","2023-07-17","SLV","3034","0","9288","B"
"NQTRF","2023-07-17","SLV","1020445","872","2306836","Q"
"NYTRF","2023-07-17","SLV","442560","3320","717916","N"
"NYTRF","2023-07-14","SLV","352618","4830","550226","N"
"NQTRF","2023-07-14","SLV","2202000","21","4070417","Q"
"NCTRF","2023-07-14","SLV","3068","0","18102","B"
"NQTRF","2023-07-13","SLV","2890112","5727","5542018","Q"
"NCTRF","2023-07-13","SLV","14826","0","30288","B"
"NYTRF","2023-07-13","SLV","480891","410","818207","N"
"NCTRF","2023-07-12","SLV","17007","0","36601","B"
"NYTRF","2023-07-12","SLV","261203","4194","539091","N"
"NQTRF","2023-07-12","SLV","2640001","8740","5286704","Q"
"NCTRF","2023-07-11","SLV","1045","0","12768","B"
"NQTRF","2023-07-11","SLV","990600","215","1922599","Q"
"NYTRF","2023-07-11","SLV","125129","1567","262491","N"
"NYTRF","2023-07-10","SLV","208403","785","361260","N"
"NQTRF","2023-07-10","SLV","1148518","1514","2244512","Q"
"NCTRF","2023-07-10","SLV","21551","0","24410","B"
"NCTRF","2023-07-07","SLV","2199","0","12875","B"
"NQTRF","2023-07-07","SLV","1091623","763","2186478","Q"
"NYTRF","2023-07-07","SLV","115370","3892","303758","N"
"NQTRF","2023-07-06","SLV","1480778","3035","3365684","Q"
"NCTRF","2023-07-06","SLV","4196","0","4250","B"
"NYTRF","2023-07-06","SLV","96140","947","446174","N"
"NCTRF","2023-07-05","SLV","13366","0","20512","B"
"NQTRF","2023-07-05","SLV","814104","4349","2967644","Q"
"NYTRF","2023-07-05","SLV","53508","0","446796","N"
"NCTRF","2023-07-03","SLV","4605","0","15367","B"
"NQTRF","2023-07-03","SLV","852559","565","1701883","Q"
"NYTRF","2023-07-03","SLV","48893","2491","235697","N"
"NCTRF","2023-06-30","SLV","6715","0","12664","B"
"NQTRF","2023-06-30","SLV","1644047","312","2801160","Q"
"NYTRF","2023-06-30","SLV","122563","0","469122","N"
"NYTRF","2023-06-29","SLV","617661","0","986990","N"
"NQTRF","2023-06-29","SLV","1564792","955","2906017","Q"
"NCTRF","2023-06-29","SLV","3256","0","7738","B"
"NQTRF","2023-06-28","SLV","681647","558","1597077","Q"
"NYTRF","2023-06-28","SLV","300060","314","527599","N"
"NCTRF","2023-06-28","SLV","1253","0","3629","B"
"NYTRF","2023-06-27","SLV","363025","650","1078248","N"
"NQTRF","2023-06-27","SLV","1525349","368","3697760","Q"
"NCTRF","2023-06-27","SLV","6259","0","26351","B"
"NQTRF","2023-06-26","SLV","2269543","2431","4452396","Q"
"NCTRF","2023-06-26","SLV","7407","0","12094","B"
"NYTRF","2023-06-26","SLV","149771","589","788754","N"
"NYTRF","2023-06-23","SLV","167028","1190","677327","N"
"NCTRF","2023-06-23","SLV","22188","0","39337","B"
"NQTRF","2023-06-23","SLV","1317785","1175","3155754","Q"
"NYTRF","2023-06-22","SLV","132233","1504","549854","N"
"NCTRF","2023-06-22","SLV","17379","0","38086","B"
"NQTRF","2023-06-22","SLV","1195580","10","3079689","Q"
"NCTRF","2023-06-21","SLV","7196","0","16556","B"
"NYTRF","2023-06-21","SLV","122691","115","440274","N"
"NQTRF","2023-06-21","SLV","1483796","10686","3536634","Q"
"NQTRF","2023-06-20","SLV","2825857","14295","7232322","Q"
"NYTRF","2023-06-20","SLV","319763","337","959043","N"
"NCTRF","2023-06-20","SLV","25773","0","38260","B"
"NCTRF","2023-06-16","SLV","2960","0","6023","B"
"NQTRF","2023-06-16","SLV","1970404","2452","2892489","Q"
"NYTRF","2023-06-16","SLV","128161","1098","1022296","N"
"NQTRF","2023-06-15","SLV","976991","11206","2279931","Q"
"NCTRF","2023-06-15","SLV","23601","0","35921","B"
"NYTRF","2023-06-15","SLV","105795","695","302138","N"
"NCTRF","2023-06-14","SLV","2899","0","3737","B"
"NYTRF","2023-06-14","SLV","35521","275","287302","N"
"NQTRF","2023-06-14","SLV","1282548","2682","2453490","Q"
"NCTRF","2023-06-13","SLV","8527","0","19219","B"
"NQTRF","2023-06-13","SLV","1654800","2324","3051219","Q"
"NYTRF","2023-06-13","SLV","234502","1777","471212","N"
"NQTRF","2023-06-12","SLV","2244943","5542","3342768","Q"
"NCTRF","2023-06-12","SLV","12171","0","19183","B"
"NYTRF","2023-06-12","SLV","177074","674","726909","N"
"NCTRF","2023-06-09","SLV","3089","0","11659","B"
"NYTRF","2023-06-09","SLV","146403","0","307036","N"
"NQTRF","2023-06-09","SLV","1291706","2481","2292413","Q"
"NYTRF","2023-06-08","SLV","219169","10327","530710","N"
"NCTRF","2023-06-08","SLV","5137","0","14680","B"
"NQTRF","2023-06-08","SLV","3162979","3260","5018752","Q"
"NYTRF","2023-06-07","SLV","242660","2423","867965","N"
"NQTRF","2023-06-07","SLV","1543514","7492","3322398","Q"
"NCTRF","2023-06-07","SLV","3425","0","11685","B"
"NCTRF","2023-06-06","SLV","9263","0","11013","B"
"NQTRF","2023-06-06","SLV","1302659","413","2069563","Q"
"NYTRF","2023-06-06","SLV","175378","2500","322411","N"
"NYTRF","2023-06-05","SLV","215844","2540","462516","N"
"NQTRF","2023-06-05","SLV","1279309","2494","2366764","Q"
"NCTRF","2023-06-05","SLV","11694","0","16586","B"
"NQTRF","2023-06-02","SLV","1653092","1584","3628572","Q"
"NCTRF","2023-06-02","SLV","5491","0","8864","B"
"NYTRF","2023-06-02","SLV","361273","710","648372","N"
"NCTRF","2023-06-01","SLV","6403","0","13788","B"
"NYTRF","2023-06-01","SLV","236365","936","405750","N"
"NQTRF","2023-06-01","SLV","3031932","552","4448870","Q"
