"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NYTRF","2023-10-06","SWBI","3553","99","4222","N"
"ORF","2023-10-06","SWDBY","7224","0","16843","O"
"ORF","2023-10-06","SWGAY","7677","0","69641","O"
"NQTRF","2023-10-06","SWI","98878","64","977506","Q"
"NYTRF","2023-10-06","SWI","155","0","776","N"
"NQTRF","2023-10-06","SWIM","41491","0","99575","Q"
"NYTRF","2023-10-06","SWIM","1","0","384","N"
"NCTRF","2023-10-06","SWIN","400","0","842","B"
"NQTRF","2023-10-06","SWIN","31533","3455","70308","Q"
"NYTRF","2023-10-06","SWIN","3697","44","11765","N"
"ORF","2023-10-06","SWISF","55907","0","145189","O"
"NCTRF","2023-10-06","SWK","81","0","569","B"
"NQTRF","2023-10-06","SWK","304864","3888","681214","Q"
"NYTRF","2023-10-06","SWK","6674","36","9105","N"
"NQTRF","2023-10-06","SWKH","180","0","281","Q"
"NQTRF","2023-10-06","SWKHL","205","0","1305","Q"
"NYTRF","2023-10-06","SWKHL","100","0","100","N"
"NCTRF","2023-10-06","SWKS","114","0","223","B"
"NQTRF","2023-10-06","SWKS","146417","231","287403","Q"
"NYTRF","2023-10-06","SWKS","409","0","1178","N"
"ORF","2023-10-06","SWLFF","285","0","285","O"
"NCTRF","2023-10-06","SWN","1860","0","57750","B"
"NQTRF","2023-10-06","SWN","3858152","5571","7974234","Q"
"NYTRF","2023-10-06","SWN","53774","2404","156691","N"
"ORF","2023-10-06","SWRAY","580","0","36638","O"
"ORF","2023-10-06","SWSSF","250","0","450","O"
"NCTRF","2023-10-06","SWTX","111","0","111","B"
"NQTRF","2023-10-06","SWTX","79506","106","95539","Q"
"NYTRF","2023-10-06","SWTX","702","0","847","N"
"NQTRF","2023-10-06","SWVL","2113","0","3998","Q"
"NYTRF","2023-10-06","SWVL","9","0","28","N"
"NCTRF","2023-10-06","SWX","24","0","24","B"
"NQTRF","2023-10-06","SWX","30101","67","63446","Q"
