"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NYTRF","2024-08-15","TRVI","759","199","919","N"
"NQTRF","2024-08-14","TRVI","160375","0","163391","Q"
"NYTRF","2024-08-14","TRVI","669","0","674","N"
"NQTRF","2024-08-13","TRVI","7640","0","9455","Q"
"NYTRF","2024-08-13","TRVI","356","0","456","N"
"NQTRF","2024-08-12","TRVI","11132","0","20475","Q"
"NYTRF","2024-08-12","TRVI","2168","0","3190","N"
"NQTRF","2024-08-09","TRVI","9337","0","26402","Q"
"NYTRF","2024-08-09","TRVI","113","0","1243","N"
"NCTRF","2024-08-08","TRVI","1299","0","7289","B"
"NQTRF","2024-08-08","TRVI","16646","0","38218","Q"
"NYTRF","2024-08-08","TRVI","584","0","785","N"
"NQTRF","2024-08-07","TRVI","32263","0","37871","Q"
"NYTRF","2024-08-07","TRVI","18","0","118","N"
"NQTRF","2024-08-06","TRVI","68757","0","72442","Q"
"NYTRF","2024-08-06","TRVI","1026","0","1028","N"
"NQTRF","2024-08-05","TRVI","52854","187","122821","Q"
"NYTRF","2024-08-05","TRVI","454","0","2560","N"
"NQTRF","2024-08-02","TRVI","40412","4000","106533","Q"
"NYTRF","2024-08-02","TRVI","113","0","639","N"
"NQTRF","2024-08-01","TRVI","13355","0","64340","Q"
"NYTRF","2024-08-01","TRVI","200","0","1610","N"
"NQTRF","2024-07-31","TRVI","22167","0","49087","Q"
"NYTRF","2024-07-31","TRVI","746","0","2226","N"
"NQTRF","2024-07-30","TRVI","9896","0","27867","Q"
"NYTRF","2024-07-30","TRVI","354","0","4801","N"
"NQTRF","2024-07-29","TRVI","22553","0","66390","Q"
"NYTRF","2024-07-29","TRVI","232","0","836","N"
"NQTRF","2024-07-26","TRVI","17117","0","34366","Q"
"NYTRF","2024-07-26","TRVI","576","0","1983","N"
"NQTRF","2024-07-25","TRVI","32940","0","97615","Q"
"NYTRF","2024-07-25","TRVI","100","0","4178","N"
"NQTRF","2024-07-24","TRVI","23938","0","138705","Q"
"NYTRF","2024-07-24","TRVI","464","0","749","N"
"NQTRF","2024-07-23","TRVI","8400","0","45129","Q"
"NYTRF","2024-07-23","TRVI","412","0","418","N"
"NQTRF","2024-07-22","TRVI","21966","1792","134886","Q"
"NYTRF","2024-07-22","TRVI","300","0","321","N"
"NQTRF","2024-07-19","TRVI","21150","0","411792","Q"
"NYTRF","2024-07-19","TRVI","100","0","707","N"
"NQTRF","2024-07-18","TRVI","20962","0","85657","Q"
"NYTRF","2024-07-18","TRVI","302","0","369","N"
"NQTRF","2024-07-17","TRVI","13968","0","29070","Q"
"NYTRF","2024-07-17","TRVI","18","0","670","N"
"NQTRF","2024-07-16","TRVI","11447","0","66957","Q"
"NYTRF","2024-07-16","TRVI","46","0","250","N"
"NQTRF","2024-07-15","TRVI","11199","0","26710","Q"
"NYTRF","2024-07-15","TRVI","670","0","671","N"
"NQTRF","2024-07-12","TRVI","10016","0","23619","Q"
"NYTRF","2024-07-12","TRVI","238","0","640","N"
"NQTRF","2024-07-11","TRVI","7232","0","46365","Q"
"NYTRF","2024-07-11","TRVI","368","0","5337","N"
"NQTRF","2024-07-10","TRVI","72340","0","487613","Q"
"NYTRF","2024-07-10","TRVI","3289","0","3621","N"
"NQTRF","2024-07-09","TRVI","12153","0","56832","Q"
"NYTRF","2024-07-09","TRVI","636","0","1721","N"
"NQTRF","2024-07-08","TRVI","10176","0","11322","Q"
