"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NYTRF","2023-07-24","SILJ","2616","0","50033","N"
"NYTRF","2023-07-21","SILJ","4297","0","155645","N"
"NQTRF","2023-07-21","SILJ","123846","0","328203","Q"
"NCTRF","2023-07-21","SILJ","500","0","650","B"
"NQTRF","2023-07-20","SILJ","262904","339","757593","Q"
"NYTRF","2023-07-20","SILJ","6521","0","71148","N"
"NQTRF","2023-07-19","SILJ","116321","8","322731","Q"
"NYTRF","2023-07-19","SILJ","21548","1395","52458","N"
"NCTRF","2023-07-18","SILJ","100","0","700","B"
"NQTRF","2023-07-18","SILJ","218448","2500","432743","Q"
"NYTRF","2023-07-18","SILJ","16629","13","98819","N"
"NCTRF","2023-07-17","SILJ","1375","0","1625","B"
"NQTRF","2023-07-17","SILJ","164148","20","413323","Q"
"NYTRF","2023-07-17","SILJ","15074","17","54491","N"
"NQTRF","2023-07-14","SILJ","194257","0","851265","Q"
"NYTRF","2023-07-14","SILJ","30291","0","104978","N"
"NCTRF","2023-07-14","SILJ","726","0","1299","B"
"NCTRF","2023-07-13","SILJ","1430","0","3121","B"
"NYTRF","2023-07-13","SILJ","55145","1344","162769","N"
"NQTRF","2023-07-13","SILJ","434127","0","936055","Q"
"NQTRF","2023-07-12","SILJ","438067","1096","937736","Q"
"NCTRF","2023-07-12","SILJ","5655","0","7330","B"
"NYTRF","2023-07-12","SILJ","36580","0","106983","N"
"NCTRF","2023-07-11","SILJ","100","0","300","B"
"NYTRF","2023-07-11","SILJ","1753","0","29876","N"
"NQTRF","2023-07-11","SILJ","99011","0","305536","Q"
"NCTRF","2023-07-10","SILJ","2047","0","2047","B"
"NQTRF","2023-07-10","SILJ","215850","1250","576021","Q"
"NYTRF","2023-07-10","SILJ","7754","558","81585","N"
"NQTRF","2023-07-07","SILJ","141364","10050","393093","Q"
"NCTRF","2023-07-07","SILJ","1600","0","2600","B"
"NYTRF","2023-07-07","SILJ","3803","0","151135","N"
"NYTRF","2023-07-06","SILJ","23166","0","201711","N"
"NQTRF","2023-07-06","SILJ","565099","9700","939557","Q"
"NYTRF","2023-07-05","SILJ","25683","109","177061","N"
"NCTRF","2023-07-05","SILJ","2600","0","4350","B"
"NQTRF","2023-07-05","SILJ","131376","0","413451","Q"
"NCTRF","2023-07-03","SILJ","133","0","933","B"
"NYTRF","2023-07-03","SILJ","2408","0","33631","N"
"NQTRF","2023-07-03","SILJ","128484","100","272297","Q"
"NQTRF","2023-06-30","SILJ","147787","2810","339372","Q"
"NYTRF","2023-06-30","SILJ","24437","751","133633","N"
"NYTRF","2023-06-29","SILJ","9390","0","101360","N"
"NQTRF","2023-06-29","SILJ","131587","0","514520","Q"
"NQTRF","2023-06-28","SILJ","209845","700","503872","Q"
"NYTRF","2023-06-28","SILJ","18624","0","161644","N"
"NQTRF","2023-06-27","SILJ","122447","0","438154","Q"
"NYTRF","2023-06-27","SILJ","12291","0","139523","N"
"NQTRF","2023-06-26","SILJ","128138","1200","286270","Q"
"NYTRF","2023-06-26","SILJ","15937","0","109638","N"
"NQTRF","2023-06-23","SILJ","221664","426","428312","Q"
"NYTRF","2023-06-23","SILJ","6832","0","45056","N"
"NCTRF","2023-06-23","SILJ","330","0","430","B"
"NQTRF","2023-06-22","SILJ","157280","0","379170","Q"
"NYTRF","2023-06-22","SILJ","8086","1683","37491","N"
"NYTRF","2023-06-21","SILJ","11027","1288","66391","N"
"NCTRF","2023-06-21","SILJ","3800","0","4781","B"
"NQTRF","2023-06-21","SILJ","194394","217","521896","Q"
"NYTRF","2023-06-20","SILJ","19170","0","59396","N"
"NQTRF","2023-06-20","SILJ","269681","8360","515285","Q"
"NCTRF","2023-06-20","SILJ","1025","0","3985","B"
"NYTRF","2023-06-16","SILJ","5907","0","39059","N"
"NCTRF","2023-06-16","SILJ","711","0","1111","B"
"NQTRF","2023-06-16","SILJ","168697","0","301942","Q"
"NYTRF","2023-06-15","SILJ","1906","0","39401","N"
"NQTRF","2023-06-15","SILJ","145260","4961","421001","Q"
"NCTRF","2023-06-15","SILJ","880","0","1060","B"
"NYTRF","2023-06-14","SILJ","7466","1160","40137","N"
"NCTRF","2023-06-14","SILJ","2120","0","2220","B"
"NQTRF","2023-06-14","SILJ","184906","5271","340591","Q"
"NYTRF","2023-06-13","SILJ","16056","0","83273","N"
"NCTRF","2023-06-13","SILJ","2300","0","2300","B"
"NQTRF","2023-06-13","SILJ","163674","747","394854","Q"
"NYTRF","2023-06-12","SILJ","14032","2502","78168","N"
"NQTRF","2023-06-12","SILJ","171527","0","381556","Q"
"NCTRF","2023-06-12","SILJ","2700","0","2800","B"
"NYTRF","2023-06-09","SILJ","5797","0","75517","N"
"NCTRF","2023-06-09","SILJ","4476","0","4576","B"
"NQTRF","2023-06-09","SILJ","199397","0","366109","Q"
"NYTRF","2023-06-08","SILJ","29339","0","140584","N"
"NQTRF","2023-06-08","SILJ","310877","0","683606","Q"
"NCTRF","2023-06-08","SILJ","2768","0","2768","B"
"NQTRF","2023-06-07","SILJ","146843","310","406816","Q"
"NCTRF","2023-06-07","SILJ","1100","0","1800","B"
"NYTRF","2023-06-07","SILJ","16889","0","60224","N"
"NQTRF","2023-06-06","SILJ","182342","150","339413","Q"
"NYTRF","2023-06-06","SILJ","4020","0","29565","N"
"NCTRF","2023-06-05","SILJ","4200","0","7000","B"
"NQTRF","2023-06-05","SILJ","107730","1230","271242","Q"
"NYTRF","2023-06-05","SILJ","11467","0","39147","N"
"NYTRF","2023-06-02","SILJ","13490","0","84232","N"
"NCTRF","2023-06-02","SILJ","1000","0","2300","B"
"NQTRF","2023-06-02","SILJ","145810","760","414366","Q"
"NYTRF","2023-06-01","SILJ","24355","652","158804","N"
"NQTRF","2023-06-01","SILJ","536361","10410","809096","Q"
"NCTRF","2023-06-01","SILJ","3000","0","3085","B"
"NCTRF","2023-05-31","SILJ","100","0","700","B"
"NYTRF","2023-05-31","SILJ","12426","0","79995","N"
"NQTRF","2023-05-31","SILJ","220189","1","458222","Q"
"NYTRF","2023-05-30","SILJ","27569","0","95254","N"
"NQTRF","2023-05-30","SILJ","216821","19905","451816","Q"
"NYTRF","2023-05-26","SILJ","13587","0","61542","N"
"NCTRF","2023-05-26","SILJ","26","0","726","B"
"NQTRF","2023-05-26","SILJ","148706","290","328516","Q"
"NYTRF","2023-05-25","SILJ","21094","521","62865","N"
"NCTRF","2023-05-25","SILJ","5400","0","7600","B"
"NQTRF","2023-05-25","SILJ","168151","0","332076","Q"
"NYTRF","2023-05-24","SILJ","10542","0","86329","N"
"NQTRF","2023-05-24","SILJ","171376","100","500315","Q"
"NCTRF","2023-05-24","SILJ","200","0","705","B"
"NQTRF","2023-05-23","SILJ","74492","2393","200351","Q"
"NYTRF","2023-05-23","SILJ","6070","0","41995","N"
"NCTRF","2023-05-23","SILJ","50","0","850","B"
"NCTRF","2023-05-22","SILJ","600","0","1300","B"
"NYTRF","2023-05-22","SILJ","1778","450","51189","N"
"NQTRF","2023-05-22","SILJ","79451","0","288671","Q"
"NQTRF","2023-05-19","SILJ","100676","400","255937","Q"
"NYTRF","2023-05-19","SILJ","4010","0","53935","N"
"NCTRF","2023-05-19","SILJ","1508","0","1508","B"
"NQTRF","2023-05-18","SILJ","148996","2490","481445","Q"
"NYTRF","2023-05-18","SILJ","30867","200","150060","N"
"NYTRF","2023-05-17","SILJ","27289","0","184256","N"
"NQTRF","2023-05-17","SILJ","125105","0","362497","Q"
"NCTRF","2023-05-17","SILJ","920","0","4820","B"
"NCTRF","2023-05-16","SILJ","3184","0","4137","B"
"NYTRF","2023-05-16","SILJ","23823","0","218747","N"
"NQTRF","2023-05-16","SILJ","175300","0","434426","Q"
"NYTRF","2023-05-15","SILJ","8444","96","60810","N"
"NQTRF","2023-05-15","SILJ","70067","0","295571","Q"
"NYTRF","2023-05-12","SILJ","47506","0","119832","N"
"NCTRF","2023-05-12","SILJ","500","0","500","B"
"NQTRF","2023-05-12","SILJ","100841","0","326122","Q"
"NYTRF","2023-05-11","SILJ","82371","0","411128","N"
"NQTRF","2023-05-11","SILJ","235388","0","890232","Q"
"NCTRF","2023-05-11","SILJ","4851","0","7451","B"
"NCTRF","2023-05-10","SILJ","2600","0","6450","B"
"NYTRF","2023-05-10","SILJ","35657","0","171949","N"
"NQTRF","2023-05-10","SILJ","217924","300","548005","Q"
"NCTRF","2023-05-09","SILJ","600","0","1100","B"
"NQTRF","2023-05-09","SILJ","66096","0","188943","Q"
"NYTRF","2023-05-09","SILJ","26676","0","84307","N"
"NCTRF","2023-05-08","SILJ","2400","0","2400","B"
"NYTRF","2023-05-08","SILJ","21638","0","51847","N"
"NQTRF","2023-05-08","SILJ","121801","0","382172","Q"
"NCTRF","2023-05-05","SILJ","70","0","1570","B"
"NYTRF","2023-05-05","SILJ","44699","337","165475","N"
"NQTRF","2023-05-05","SILJ","216172","15090","552632","Q"
"NCTRF","2023-05-04","SILJ","2110","0","2160","B"
"NYTRF","2023-05-04","SILJ","60894","0","250757","N"
"NQTRF","2023-05-04","SILJ","326964","784","669347","Q"
"NQTRF","2023-05-03","SILJ","137067","182","328062","Q"
"NYTRF","2023-05-03","SILJ","42035","90","152887","N"
"NCTRF","2023-05-03","SILJ","100","0","2100","B"
"NYTRF","2023-05-02","SILJ","77456","0","295123","N"
"NCTRF","2023-05-02","SILJ","2849","0","4557","B"
"NQTRF","2023-05-02","SILJ","303395","0","616991","Q"
"NCTRF","2023-05-01","SILJ","100","0","719","B"
"NQTRF","2023-05-01","SILJ","175675","102","394194","Q"
"NYTRF","2023-05-01","SILJ","48964","0","146671","N"
"NYTRF","2023-04-28","SILJ","13983","0","45315","N"
"NQTRF","2023-04-28","SILJ","180966","6740","348707","Q"
"NCTRF","2023-04-28","SILJ","520","0","4020","B"
"NCTRF","2023-04-27","SILJ","3150","0","3150","B"
"NQTRF","2023-04-27","SILJ","136125","2100","259964","Q"
"NYTRF","2023-04-27","SILJ","64717","0","166215","N"
"NCTRF","2023-04-26","SILJ","1680","0","2655","B"
"NYTRF","2023-04-26","SILJ","27129","0","109760","N"
"NQTRF","2023-04-26","SILJ","117167","500","212810","Q"
"NCTRF","2023-04-25","SILJ","490","0","1484","B"
"NQTRF","2023-04-25","SILJ","187522","3100","413116","Q"
"NYTRF","2023-04-25","SILJ","124882","0","284046","N"
"NYTRF","2023-04-24","SILJ","23915","0","88505","N"
"NCTRF","2023-04-24","SILJ","1975","0","4975","B"
"NQTRF","2023-04-24","SILJ","130450","400","238658","Q"
"NYTRF","2023-04-21","SILJ","112771","0","283434","N"
"NCTRF","2023-04-21","SILJ","2100","0","2639","B"
"NQTRF","2023-04-21","SILJ","197803","2261","405459","Q"
"NYTRF","2023-04-20","SILJ","65286","0","195045","N"
"NCTRF","2023-04-20","SILJ","824","0","2924","B"
"NQTRF","2023-04-20","SILJ","145136","0","455178","Q"
"NCTRF","2023-04-19","SILJ","5450","0","6350","B"
"NYTRF","2023-04-19","SILJ","66222","0","180289","N"
"NQTRF","2023-04-19","SILJ","267339","85","484694","Q"
"NYTRF","2023-04-18","SILJ","32352","100","155181","N"
"NQTRF","2023-04-18","SILJ","112844","400","331193","Q"
"NYTRF","2023-04-17","SILJ","53486","0","249060","N"
"NCTRF","2023-04-17","SILJ","838","0","1088","B"
"NQTRF","2023-04-17","SILJ","162587","504","459352","Q"
"NCTRF","2023-04-14","SILJ","1530","0","1530","B"
"NQTRF","2023-04-14","SILJ","330434","34300","862028","Q"
"NYTRF","2023-04-14","SILJ","178739","0","532464","N"
"NCTRF","2023-04-13","SILJ","1030","0","1754","B"
